query_sample_id,query_index,query_label,query_project,query_cve,query_code_chars,query_code_lines,query_codebert_tokens,query_truncated_for_embedding,embedding_token_window,rank,faiss_l2_distance,retrieved_index,retrieved_sample_id,retrieved_label,label_matches_query,retrieved_project,retrieved_cve,retrieved_cve_normalized,same_cve,retrieved_dataset_type,retrieved_source,retrieved_code_chars,retrieved_code_lines,retrieved_codebert_tokens,lexical_jaccard,query_snippet,retrieved_snippet,query_file_name,query_unique_id,query_target,query_vulnerable_line_numbers,query_dataset_type,query_source_signature_path,query_commit_hash,query_full_trace,retrieved_file_name,retrieved_unique_id,retrieved_target,retrieved_vulnerable_line_numbers,retrieved_source_signature_path,retrieved_commit_hash,retrieved_full_trace
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,1,5.495849609375,700,trace-csv::701,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_only_real_world.csv,223,1,106,0.034482758620689655,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",zsh-5.4.2/1.json#trace13,8700,1,"699,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,2,5.53985595703125,415,trace-csv::416,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",urjtag-0.8/1.json#trace16,8415,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,310,341",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/1.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( afmt, fmt );
				sprintf( buff, afmt, min );"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,3,5.53997802734375,424,trace-csv::425,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",urjtag-0.8/1.json#trace25,8424,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,310,341",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/1.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( afmt, fmt );
				sprintf( buff, afmt, min );"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,4,5.5491943359375,568,trace-csv::569,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",urjtag-0.8/4.json#trace25,8568,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,318,369",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/4.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( dfmt, fmt );
				sprintf( buff, dfmt, min );"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,5,5.54925537109375,559,trace-csv::560,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",urjtag-0.8/4.json#trace16,8559,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,318,369",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/4.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( dfmt, fmt );
				sprintf( buff, dfmt, min );"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,6,5.55328369140625,463,trace-csv::464,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",urjtag-0.8/2.json#trace16,8463,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,310,346",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/2.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( afmt, fmt );
				sprintf( buff, afmt, max );"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,1,5.465087890625,700,trace-csv::701,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_only_real_world.csv,223,1,106,0.01818181818181818,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",zsh-5.4.2/1.json#trace13,8700,1,"699,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,2,5.695068359375,415,trace-csv::416,Vulnerable,False,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.039473684210526314,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",urjtag-0.8/1.json#trace16,8415,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,310,341",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/1.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( afmt, fmt );
				sprintf( buff, afmt, min );"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,3,5.695068359375,424,trace-csv::425,Vulnerable,False,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.039473684210526314,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",urjtag-0.8/1.json#trace25,8424,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,310,341",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/1.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( afmt, fmt );
				sprintf( buff, afmt, min );"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,4,5.71173095703125,559,trace-csv::560,Vulnerable,False,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_only_real_world.csv,592,1,262,0.039473684210526314,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",urjtag-0.8/4.json#trace16,8559,1,"39,57,67,68,70,136,141,168,169,187,193,211,219,248,253,257,300,318,369",tracer-signaturedb-rag/signature-db-ori/urjtag-0.8/4.json,27cc443478606ee37f3c01499b3bc034,"	while(fgets(line, 1023, stdin));
		jtag_readline_multiple_commands_support( line );
  nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */
  r = jtag_parse_line( line );
	t = get_token( line );
	char *t = strtok( buf, "" \f\n\r\t\v"" );
	if (t && (*t == '#'))
	return t;
	if (!t)
		a[n++] = t;
	r = cmd_run( a );
	if (!params[0])
			int r = cmds[i]->run( params );
	if (cmd_params( params ) < 2)
			bus_t *bus = bus_drivers[i]->new_bus( params );
		prototype_bus_signal_parse( value, fmt, &inst );
			sprintf( fmt, ""%s%s"", pre, ""%d"" );
			strcpy( dfmt, fmt );
				sprintf( buff, dfmt, min );"
