query_sample_id,query_index,query_label,query_project,query_cve,query_code_chars,query_code_lines,query_codebert_tokens,query_truncated_for_embedding,embedding_token_window,rank,faiss_l2_distance,retrieved_index,retrieved_sample_id,retrieved_label,label_matches_query,retrieved_project,retrieved_cve,retrieved_cve_normalized,same_cve,retrieved_dataset_type,retrieved_source,retrieved_code_chars,retrieved_code_lines,retrieved_codebert_tokens,lexical_jaccard,query_snippet,retrieved_snippet,query_file_name,query_unique_id,query_target,query_vulnerable_line_numbers,query_dataset_type,query_source_signature_path,query_commit_hash,query_full_trace,retrieved_file_name,retrieved_unique_id,retrieved_target,retrieved_vulnerable_line_numbers,retrieved_source_signature_path,retrieved_commit_hash,retrieved_full_trace
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,1,5.49578857421875,362,trace-csv::363,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,223,1,106,0.034482758620689655,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",zsh-5.4.2/1.json#trace13,363,1,"699,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,2,5.59967041015625,353,trace-csv::354,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",zsh-5.4.2/1.json#trace4,354,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,3,5.59967041015625,355,trace-csv::356,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",zsh-5.4.2/1.json#trace6,356,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,4,5.59967041015625,357,trace-csv::358,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",zsh-5.4.2/1.json#trace8,358,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,5,5.59967041015625,359,trace-csv::360,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",zsh-5.4.2/1.json#trace10,360,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,6,5.59967041015625,361,trace-csv::362,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",1,1,1,1,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
",zsh-5.4.2/1.json#trace12,362,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,1,5.4652099609375,362,trace-csv::363,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,223,1,106,0.01818181818181818,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",zsh-5.4.2/1.json#trace13,363,1,"699,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,2,5.81689453125,353,trace-csv::354,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",zsh-5.4.2/1.json#trace4,354,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,3,5.81689453125,355,trace-csv::356,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",zsh-5.4.2/1.json#trace6,356,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,4,5.81689453125,357,trace-csv::358,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =...",2,2,0,,test,,,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
",zsh-5.4.2/1.json#trace8,358,1,"700,711,726,770,867,1663,1665,4622,4661,4963,4993",tracer-signaturedb-rag/signature-db-ori/zsh-5.4.2/1.json,c887250844cb9957b7a996fc52f754e4,"	de = readdir(dir);
    return metafy(de->d_name, -1, META_STATIC);
	    buf = hrealloc(buf, len, len + meta + 1);
    if (!old && !p)
	if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h))
    if (p + old < arena(h) + h->used) {
    if (p == arena(h)) {
	return p;
    return buf;
		while ((fn = zreaddir(lock, 1)) && !errflag) {
			sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
