file_name,unique_id,target,vulnerable_line_numbers,project,cve,source_signature_path,commit_hash,dataset_type,processed_func
amanda-3.3.1/1.json#trace1,1,1,"42,159",amanda-3.3.1,CVE-2016-10729,tracer-signaturedb-rag/signature-db-ori/amanda-3.3.1/1.json,96e19b7a51e8ab748da23cd7b6a32197,test,"int
    execve(GNUTAR, argv, safe_env());"
amanda-3.3.1/1.json#trace2,2,1,"42,137,159",amanda-3.3.1,CVE-2016-10729,tracer-signaturedb-rag/signature-db-ori/amanda-3.3.1/1.json,96e19b7a51e8ab748da23cd7b6a32197,test,"int
    if (strcmp(argv[0], ""NOCONFIG"") != 0)
    execve(GNUTAR, argv, safe_env());"
amanda-3.3.1/1.json#trace3,3,1,"42,86,159",amanda-3.3.1,CVE-2016-10729,tracer-signaturedb-rag/signature-db-ori/amanda-3.3.1/1.json,96e19b7a51e8ab748da23cd7b6a32197,test,"int
    if (strcmp(argv[3], ""--create"") != 0) {
    execve(GNUTAR, argv, safe_env());"
amanda-3.3.1/1.json#trace4,4,1,"42,86,137,159",amanda-3.3.1,CVE-2016-10729,tracer-signaturedb-rag/signature-db-ori/amanda-3.3.1/1.json,96e19b7a51e8ab748da23cd7b6a32197,test,"int
    if (strcmp(argv[3], ""--create"") != 0) {
    if (strcmp(argv[0], ""NOCONFIG"") != 0)
    execve(GNUTAR, argv, safe_env());"
autotrace-20200219.65/1.json#trace1,5,1,"103,110,167,170,174,203,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/1.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, 8)) {
    Bitmap_Head.biHeight = ToS(&buffer[0x02]);  /* 14 */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0)
  image = at_bitmap_init(image_storage, (unsigned short)Bitmap_Head.biWidth, (unsigned short)Bitmap_Head.biHeight, Grey ? 1 : 3);
    if (0 == (width * height))
      XCALLOC(bitmap.bitmap, width * height * planes * sizeof(unsigned char));"
autotrace-20200219.65/1.json#trace2,6,1,"103,109,110,167,170,174,203,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/1.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, 8)) {
    Bitmap_Head.biWidth = ToS(&buffer[0x00]); /* 12 */
    Bitmap_Head.biHeight = ToS(&buffer[0x02]);  /* 14 */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0)
  image = at_bitmap_init(image_storage, (unsigned short)Bitmap_Head.biWidth, (unsigned short)Bitmap_Head.biHeight, Grey ? 1 : 3);
    if (0 == (width * height))
      XCALLOC(bitmap.bitmap, width * height * planes * sizeof(unsigned char));"
autotrace-20200219.65/1.json#trace3,7,1,"103,109,167,170,174,203,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/1.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, 8)) {
    Bitmap_Head.biWidth = ToS(&buffer[0x00]); /* 12 */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0)
  image = at_bitmap_init(image_storage, (unsigned short)Bitmap_Head.biWidth, (unsigned short)Bitmap_Head.biHeight, Grey ? 1 : 3);
    if (0 == (width * height))
      XCALLOC(bitmap.bitmap, width * height * planes * sizeof(unsigned char));"
autotrace-20200219.65/10.json#trace1,8,1,"119,126,174,202,251,416",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/10.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
  return (puffer[0] | puffer[1] << 8 | puffer[2] << 16 | puffer[3] << 24);
  if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0)
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
    XMALLOC(image, width * height * 1 * sizeof(unsigned char));"
autotrace-20200219.65/10.json#trace2,9,1,"119,125,126,174,202,251,416",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/10.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
  return (puffer[0] | puffer[1] << 8 | puffer[2] << 16 | puffer[3] << 24);
  if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0)
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
    XMALLOC(image, width * height * 1 * sizeof(unsigned char));"
autotrace-20200219.65/10.json#trace3,10,1,"119,125,174,202,251,416",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/10.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biWidth = ToL(&buffer[0x00]); /* 12 */
  return (puffer[0] | puffer[1] << 8 | puffer[2] << 16 | puffer[3] << 24);
  if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0)
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
    XMALLOC(image, width * height * 1 * sizeof(unsigned char));"
autotrace-20200219.65/11.json#trace1,11,1,"119,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/11.json#trace2,12,1,"119,127,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/11.json#trace3,13,1,"119,126,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
autotrace-20200219.65/11.json#trace4,14,1,"119,126,127,128,169,186,202,255,421",autotrace-20200219.65,CVE-2017-9181,tracer-signaturedb-rag/signature-db-ori/autotrace-20200219.65/11.json,1a60b0e012a7429a8bc83c0b4115f846,test,"    if (!ReadOK(fd, buffer, Bitmap_File_Head.biSize - 4)) {
    Bitmap_Head.biHeight = ToL(&buffer[0x04]);  /* 16 */
    Bitmap_Head.biPlanes = ToS(&buffer[0x08]);  /* 1A */
    Bitmap_Head.biBitCnt = ToS(&buffer[0x0A]);  /* 1C */
  return ((short)(puffer[0] | puffer[1] << 8));
  if ((Bitmap_Head.biClrUsed == 0) && (Bitmap_Head.biBitCnt <= 8))
  rowbytes = ((Bitmap_Head.biWidth * Bitmap_Head.biBitCnt - 1) / 32) * 4 + 4;
  image_storage = ReadImage(fd, Bitmap_Head.biWidth, Bitmap_Head.biHeight, ColorMap, Bitmap_Head.biBitCnt, Bitmap_Head.biCompr, rowbytes, Grey);
  XMALLOC(buffer, rowbytes);"
